branchId,name,type,address,city,postalCode,latitude,longitude,distanceKm_from_queryPoint,queryLatitude,queryLongitude,openingHours,phone,wheelchairAccessible
DB-DE-00001,Deutsche Bank Hamburg - Nord,Beratungscenter,Kölner Straße 109,Hamburg,20097,53.522601,9.971203,255.26,52.52,13.405,Mo-Fr 09:00-18:00; Sa 09:30-13:00,+49 57 4903402,True
DB-DE-00002,Deutsche Bank Karlsruhe Center,Filiale,Hauptstraße 195,Karlsruhe,76227,49.013021,8.409825,524.62,52.52,13.405,Mo-Fr 10:00-18:00; Sa geschlossen,+49 73 5661907,False
DB-DE-00003,Deutsche Bank Köln Center,Filiale,Bergstraße 155,Köln,50667,50.920419,6.986649,476.36,52.52,13.405,Mo-Fr 09:00-18:00; Sa 09:30-13:00,+49 88 9996414,True
DB-DE-00004,Deutsche Bank Hamburg Center,Beratungscenter,Kölner Straße 50,Hamburg,22041,53.579487,9.981553,257.34,52.52,13.405,Mo-Fr 09:00-18:00; Sa 09:30-13:00,+49 59 5855124,True
DB-DE-00005,Deutsche Bank München Center,Filiale,Kaiserstraße 95,München,80992,48.156419,11.618648,501.46,52.52,13.405,"Mo,Mi,Fr 09:00-16:00; Di,Do 09:00-18:00",+49 39 3871230,True
DB-DE-00006,Deutsche Bank Filiale Freiburg im Breisgau,SelbstbedienungsCenter,Mühlenstraße 197,Freiburg im Breisgau,79106,48.012748,7.80844,639.46,52.52,13.405,Mo-Fr 09:00-17:00,+49 34 6292423,False
DB-DE-00007,Deutsche Bank Dortmund Ost,Filiale,Gartenstraße 165,Dortmund,44379,51.499664,7.436398,423.83,52.52,13.405,"Mo,Mi,Fr 09:00-16:00; Di,Do 09:00-18:00",+49 47 5137722,True
DB-DE-00008,Deutsche Bank Filiale Freiburg im Breisgau,Filiale,Goethestraße 131,Freiburg im Breisgau,79106,48.001339,7.866801,637.93,52.52,13.405,Mo-Fr 09:00-18:00; Sa 09:30-13:00,+49 44 3564251,True
DB-DE-00009,Deutsche Bank Stuttgart Zentrum,Filiale,Münchner Straße 65,Stuttgart,70173,48.793325,9.175116,510.33,52.52,13.405,Mo-Fr 09:00-18:00; Sa 09:30-13:00,+49 44 5476583,False
DB-DE-00010,Deutsche Bank Hannover Center,SelbstbedienungsCenter,Münchner Straße 196,Hannover,30419,52.352593,9.725477,250.1,52.52,13.405,Mo-Fr 09:00-18:00; Sa 09:30-13:00,+49 68 9517169,True
